seasonality,accuracy,n_correct,n_total
4,0.2199820788530466,491,2232
8,0.20967741935483872,468,2232
12,0.19802867383512546,442,2232
16,0.08288530465949821,185,2232
20,0.06810035842293907,152,2232
24,0.1635304659498208,365,2232
27,0.00492831541218638,11,2232
30,0.012544802867383513,28,2232
32,0.05913978494623656,132,2232
36,0.34274193548387094,765,2232
